a	A
root	akar
rooted	berakar
rooter	simpatisan
rooters	akar
rooting	perakaran
rootkit	rootkit
rootkits	rootkit
rootless	tak menentu
rootlessness	tanpa akar
rootlets	akar kecil
roots	akar
rootstock	batang bawah
rootstocks	batang bawah
rope	tali
roped	diikat
roper	pembungkus
ropers	para penopang
ropes	tali
ropeway	kereta gantung
roping	mengikat
ropy	berurat
roque	roque
rosaries	rosario
rosary	rosario
rose	mawar
roseate	berwarna merah jambu
rosebud	kuntum bunga mawar
rosebuds	kuncup mawar
rosebush	rumpun pohon bunga mawar
rosemary	rosemary
roseola	roseola
roses	mawar
rosette	hiasan berbentuk mawar
rosettes	roset
rosewater	air mawar
rosewood	kayu mawar
rosier	lebih cerah
rosin	rosin
roster	daftar
rostering	penyusunan daftar
rosters	daftar
rostrum	mimbar
rosy	cerah
rot	membusuk
rota	giliran
rotaries	putaran
rotary	putar
rotas	jadwal
rotatable	dapat diputar
rotate	memutar
rotated	diputar
rotates	berputar
rotating	berputar
rotation	rotasi
rotational	rotasi
rotations	rotasi
rotator	alat pemutar
rotators	rotator
rotatory	yg berputar
rote	hafalan
rotenone	rotenon
rotifer	rotifer
rotifers	rotifera
rotisserie	alat panggang listrik
rotisseries	alat pemanggang putar
rotogravure	cetak benam
rotor	rotor
rotors	rotor
rots	membusuk
rotted	membusuk
rotten	busuk
rottenness	kebusukan
rotter	bangsat
rotters	para pembusuk
rotting	membusuk
rottweiler	anjing rottweiler
rottweilers	anjing rottweiler
rotund	bundar
rotunda	bangunan bulat
rotundity	kegendutan
roue	si cabul
roues	jalan
rouge	merah muda
rouged	dirona
rouges	merah
rough	kasar
roughage	serat kasar
roughed	kasar
roughen	mengamuk
roughened	kasar
roughening	pengasaran
rougher	lebih kasar
roughest	paling kasar
roughing	kasar
roughly	dengan kasar
roughneck	orang kasar
roughnecks	pekerja kasar
roughness	kekasaran
roughrider	penunggang kuda kasar
roughriders	penunggang kuda kasar
roughs	kasar
roughshod	kasar
roulade	roulade
rouleau	rouleau
roulette	rolet
round	bulat
roundabout	bundaran
roundabouts	bundaran
rounded	bulat
roundel	lingkaran
roundels	lingkaran
rounder	pengadu
rounders	permainan rounders
roundest	paling bulat
roundhouse	bangsal lokomotif
rounding	pembulatan
roundish	berbentuk agak bundar
roundly	terus terang
roundness	kebulatan
rounds	putaran
roundtrip	perjalanan pulang pergi
roundup	rangkuman
roundups	rangkuman
roundworm	cacing gelang
roundworms	cacing gelang
roup	kelompok
rouse	membangkitkan
roused	terbangun
rouser	pembangkit
rouses	membangkitkan
rousing	meriah
roustabout	buruh pelabuh
rout	mengusir
route	rute
routed	diarahkan
routeing	perutean
router	router
routers	router
routes	rute
routine	rutin
routinely	secara rutin
routines	rutinitas
routing	rute
routinized	rutin
routs	rute
roux	roux
rove	menjelajah
roved	berkelana
rover	bajak
rovers	penjelajah
roves	berkeliaran
roving	keliling
row	baris
rowan	pohon erangan
rowboat	perahu dayung
rowboats	perahu dayung
rowdies	orang-orang kasar
rowdiness	keributan
rowdy	gaduh
rowed	mendayung
rower	pendayung
rowers	pendayung
rowing	mendayung
rows	baris
royal	kerajaan
royalist	pendukung raja
royalists	kaum royalis
royally	secara meriah
royals	bangsawan
royalties	royalti
royalty	bangsawan
rpm	putaran per menit
rps	rps
rpt	rpt
rs	rs
rt	rt
rte	rte
rub	menggosok
rubato	rubato
rubbed	digosok
rubber	karet
rubberized	dilapisi karet
rubbers	karet
rubbery	elastis
rubbing	gosokan
rubbings	gosokan
rubbish	sampah
rubbished	dicemooh
rubble	puing
rubdown	pijatan
rube	orang udik
rubel	rubel
rubella	rubella
rubellite	rubelit
rubeola	penyakit rubeola
rubes	orang bodoh
rubidium	rubidium
rubies	batu rubi
ruble	rubel
rubles	rubel
rubric	rubrik
rubrics	rubrik
rubs	menggosok
ruby	rubi
ruched	berkerut
ruching	ruching
ruck	kerut
rucking	rucking
rucks	rucks
rucksack	ransel
rucksacks	ransel
ruckus	keributan
rudbeckia	rudbeckia
rudd	Rudd
rudder	kemudi
rudderless	tanpa kemudi
rudders	kemudi
ruddle	bingung karena malu
ruddock	ruddock
rudds	rudds
ruddy	memerah
rude	kasar
rudely	dengan kasar
rudeness	kekasaran
ruder	lebih kasar
rudest	paling kasar
rudiment	kelainan
rudimentary	belum sempurna
rudiments	dasar
rue	menyesali
rued	menyesal
rueful	sedih
ruefully	dengan sedih
rues	penyesalan
ruff	bulu kasar
ruffed	berkerah
ruffian	bajingan
ruffians	preman
ruffing	bulu kasar
ruffle	membuat bingung
ruffled	kusut
ruffles	rumbai-rumbai
ruffling	mengacak-acak
ruffs	kerah
rufiyaa	rufiyaa
rufous	berwarna karat
rug	karpet
rugby	ragbi
rugged	kasar
ruggedly	kasar
ruggedness	kekasaran
rugger	ragbi
rugose	berkerut
rugrat	anak kecil
rugrats	anak-anak
rugs	karpet
ruin	menghancurkan
ruination	kehancuran
ruined	hancur
ruining	merusak
ruinous	merusak
ruins	reruntuhan
rule	aturan
ruled	memutuskan
ruler	penggaris
rulers	penguasa
rules	aturan
ruling	berkuasa
rulings	keputusan
rum	rum
rumba	rumba
rumble	gemuruh
rumbled	bergemuruh
rumbles	gemuruh
rumbling	bergemuruh
rumblings	gemuruh
rumbly	bergemuruh
rumen	rumen
ruminal	rumen
ruminant	pemamah biak
ruminants	hewan ruminansia
ruminate	merenungkan
ruminated	merenung
ruminates	merenung
ruminating	merenung
rumination	hal memamah biak
ruminations	renungan
ruminator	perenung
rummage	menggeledah
rummaged	menggeledah
rummages	menggeledah
rummaging	menggeledah
rummy	pedagang minuman keras
rumor	isu
rumored	dikabarkan
rumors	rumor
rump	pantat
rumple	meremas
rumpled	kusut
rumps	pantat
rumpus	keributan
rums	rum
run	berlari
runabout	perahu kecil
runabouts	perahu kecil
runaround	bertele-tele
runaway	pelarian
runaways	anak-anak yang melarikan diri
rundle	rundle
rundown	ikhtisar
rune	sajak
runes	rune
rung	anak tangga
rungs	anak tangga
runic	rahasia
runnable	dapat dijalankan
runnels	saluran air
runner	pelari
runners	pelari
running	berlari
runny	encer
runoff	limpasan
runoffs	limpasan
runs	lari
runt	katai
runtime	waktu eksekusi
runts	anak-anak kecil
runway	landasan pacu
runways	landasan pacu
rupee	rupee
rupees	rupee
rupiah	rupiah
rupiahs	rupiah
rupture	pecah
ruptured	pecah
ruptures	pecah
rupturing	pecah
rural	pedesaan
ruse	tipu
ruses	tipu daya
rush	bergegas
rushed	terburu-buru
rusher	penyerang
rushers	penyerang
rushes	terburu-buru
rushing	terburu-buru
rusk	roti panggang
rusks	biskuit kering
russet	warna coklat muda
rust	karat
rusted	berkarat
rustic	pedesaan
rusticated	pedesaan
rusticity	kesederhanaan
rustics	orang pedesaan
rusting	berkarat
rustle	berdesir
rustled	berdesir
rustler	pencuri ternak
rustlers	pencuri ternak
rustles	gemerisik
rustling	gemerisik
rustproof	tahan karat
rustproofing	anti karat
rusts	karat
rusty	berkarat
rut	kebiasaan
rutabaga	lobak Swedia
rutabagas	lobak
ruth	Ruth
ruthenium	rutenium
ruthless	kejam
ruthlessly	tanpa ampun
ruthlessness	kekejaman
ruths	Ruth
rutile	rutil
ruts	alur
rutted	berlubang
rutting	alur
rya	rya
rye	gandum hitam
s	S
sabayon	sabayon
sabbath	Sabat
sabbaths	hari Sabat
sabbatical	cuti panjang
sabbaticals	cuti panjang
saber	pedang
sabers	pedang
sabin	Sabin
sable	warna hitam
sables	musang
sabot	sabot
sabotage	sabotase
sabotaged	disabotase
sabotages	sabotase
sabotaging	sabotase
saboteur	penyabot
saboteurs	penyabotase
sabots	sepatu
sabra	sabra
sabre	pedang
sabres	pedang
sac	kantung
sacaton	sakaton
saccharide	sakarida
saccharides	sakarida
saccharin	sakarin
saccharine	sakarin
saccharose	sakarosa
saccular	sakular
saccule	sakula
sacerdotal	yg berhubung dgn pendeta
sachem	kepala suku
sachems	kepala suku
sachet	sachet
sachets	sachet
sack	memecat
sackcloth	kain karung
sacked	dipecat
sacker	pemulung
sacking	pemecatan
sackings	pemecatan
sacks	karung
sacra	sakra
sacral	sakral
sacrament	sakramen
sacramental	sakramen
sacraments	sakramen
sacred	suci
sacredly	suci
sacredness	kesucian
sacrifice	pengorbanan
sacrificed	dikorbankan
sacrificer	pengorbanan
sacrifices	pengorbanan
sacrificial	pengorbanan
sacrificially	dengan penuh pengorbanan
sacrificing	mengorbankan
sacrilege	penistaan
sacrilegious	asusila
sacristan	petugas sakristi
sacristy	sakristi
sacroiliac	sakroiliaka
sacrosanct	amat suci
sacrum	tulang kelangkang
sacs	kantung
sad	sedih
sadden	menyedihkan
saddened	sedih
saddening	menyedihkan
saddens	menyedihkan
sadder	lebih sedih
saddest	paling menyedihkan
saddle	pelana
saddleback	pelana
saddlebag	tas sadel
saddlebags	tas samping
saddled	berpelana
saddler	kuda tunggangan
saddlers	pembuat pelana
saddlery	perlengkapan pelana
saddles	pelana
saddling	memasang pelana
sadhu	sadhu
sadhus	sadhu
sadism	sadisme
sadist	sadis
sadistic	sadis
sadistically	secara sadis
sadists	sadis
sadly	sayangnya
sadness	kesedihan
sadomasochism	sadomasokisme
sadomasochistic	sadomasokis
safari	safari
safaris	safari
safe	aman
safecracker	pembobol brankas
safeguard	menjaga
safeguarded	dilindungi
safeguarding	melindungi
safeguards	perlindungan
safekeeping	diamankan
safelight	lampu pengaman
safely	dengan aman
safeness	keamanan
safer	lebih aman
safes	brankas
safest	paling aman
safeties	keselamatan
safety	keamanan
safflower	bunga safflower
saffron	kunyit
sag	melengkung
saga	kisah
sagacious	cerdas
sagacity	kebijaksanaan
sagamore	kepala suku
sagas	kisah-kisah
sage	sage
sagebrush	semak belukar
sagely	bijaksana
sager	Sager
sages	orang bijak
sagged	kendur
sagging	menurun
saggy	kendor
sagittal	sagital
sago	sagu
sags	kendur
saguaro	kaktus saguaro
sahib	tuan
sahibs	sahibs
sahuaro	sahuaro
said	dikatakan
saiga	saiga
sail	berlayar
sailboard	papan selancar
sailboards	papan selancar
sailboat	perahu layar
sailboats	perahu layar
sailcloth	kain layar
sailed	berlayar
sailer	anak kapal
sailfish	ikan layar
sailing	pelayaran
sailings	pelayaran
sailmaker	pembuat layar
sailor	pelaut
sailors	pelaut
sailplane	pesawat layang
sailplanes	pesawat layang
sails	layar
sain	orang suci
saint	santo
sainted	suci
sainthood	kesucian
saintliness	kesucian
saintly	suci
saints	orang-orang suci
saith	kata
sake	demi
saker	saker
sakes	demi
saki	saki
sakis	sakis
sal	sal
salaam	salam
salable	laku
salacious	cabul
salad	salad
salade	salad
salads	salad
salamander	salamander
salamanders	salamander
salami	salami
salamis	salami
salaried	bergaji
salaries	gaji
salary	gaji
sale	penjualan
saleable	laku
salep	penjualan
saleroom	ruang lelang
sales	penjualan
salesgirl	pramuniagawati
saleslady	pramuniaga
salesman	penjual
salesmanship	keahlian berdagang
salesmen	tenaga penjual
salespeople	tenaga penjualan
salesperson	tenaga penjual
salespersons	tenaga penjual
saleswoman	wanita pelayan toko
salicylate	salisilat
salicylates	salisilat
salicylic	asam salisilat
salience	keunggulan
saliency	keunggulan
salient	menonjol
salina	salina
saline	larutan garam
salines	garam
salinity	salinitas
salinization	salinisasi
saliva	air liur
salivary	air liur
salivate	mengeluarkan air liur
salivating	mengeluarkan air liur
salivation	air liur
sallied	berangkat
sallies	sallies
sallow	pudar
sally	Sally
salmagundi	salmagundi
salmi	salmi
salmon	ikan salmon
salmonella	salmonella
salmonellae	salmonella
salmonellosis	salmonellosis
salmons	ikan salmon
salon	salon
salons	salon
saloon	bar
saloons	kedai minuman
salpingitis	salpingitis
salsa	salsa
salsas	saus salsa
salsify	salsify
salt	garam
saltation	lompatan
saltbox	saltbox
salted	asin
salter	pedagang garam
saltier	lebih asin
saltine	asin
saltines	asin
saltiness	rasa asin
salting	penggaraman
saltire	salib
saltpeter	sendawa
salts	garam
saltus	saltus
saltwater	asin
saltworks	pegaraman
salty	asin
salubrious	menyehatkan
salubrity	hal bermanfaat untuk kesehatan
salutary	bermanfaat
salutation	sapaan
salutations	salam
salutatorian	salutatorian
salute	hormat
saluted	memberi hormat
salutes	memberi hormat
saluting	memberi hormat
salvage	menyelamatkan
salvageable	dapat diselamatkan
salvaged	diselamatkan
salvages	penyelamatan
salvaging	penyelamatan
salvation	penyelamatan
salve	pelega
salved	dibalsem
salver	talam
salves	salep
salvia	salvia
salvias	salvia
salvo	salvo
salvos	salvo
samadhi	samadhi
samarium	samarium
samba	samba
sambar	sambar
sambas	samba
sambo	sambo
same	sama
sameness	kesamaan
sames	sama
samey	sama saja
samizdat	samizdat
samosa	samosa
samosas	samosa
samovar	samovar
sampan	sampan
sampans	perahu sampan
samphire	samphire
sample	mencicipi
sampled	diambil sampelnya
sampler	alat pengambil sampel
samplers	alat pengambil sampel
samples	sampel
sampling	contoh
samplings	sampel
samsara	samsara
samurai	samurai
samurais	samurai
sanatorium	sanatorium
sanatoriums	sanatorium
sanctification	pengudusan
sanctified	kudus
sanctifies	menguduskan
sanctify	menguduskan
sanctifying	menguduskan
sanctimonious	munafik
sanctimony	kemunafikan
sanction	sanksi
sanctioned	disanksi
sanctioning	memberikan sanksi
sanctions	sanksi
sanctity	kesucian
sanctuaries	suaka
sanctuary	suaka
sanctum	tempat suci
sand	pasir
sandal	sandal
sandals	sandal
sandalwood	kayu cendana
sandbag	memaksakan
sandbagged	karung pasir
sandbagging	karung pasir
sandbags	karung pasir
sandbank	beting
sandbanks	gundukan pasir
sandbar	gosong
sandbars	gundukan pasir
sandblast	semburan pasir
sandblasted	disemprot pasir
sandblaster	penyemprot pasir
sandblasters	penyemprot pasir
sandblasting	penyemprotan pasir
sandbox	bak pasir
sandboxes	kotak pasir
sandcastle	istana pasir
sandcastles	istana pasir
sanded	diampelas
sander	mesin pengamplas
sanderling	sanderling
sanders	mesin pengamplas
sandflies	lalat pasir
sandfly	agas
sandhi	sandhi
sanding	pengamplasan
sandlot	lapangan pasir
sandman	tukang tidur
sandpaper	ampelas
sandpiper	burung kedidi
sandpipers	burung sandpiper
sandpit	daerah tanjung berpasir
sands	pasir
sandstone	batu pasir
sandstones	batupasir
sandstorm	badai pasir
sandstorms	badai pasir
sandwich	sandwich
sandwiched	terjepit
sandwiches	sandwich
sandwiching	sandwich
sandy	berpasir
sane	waras
sanely	secara masuk akal
saner	lebih waras
sanest	paling waras
sang	bernyanyi
sangria	sangria
sanguinaria	sanguinaria
sanguinary	terkutuk
sanguine	optimis
sanguineous	periang
sanitarian	sanitarian
sanitarians	petugas sanitasi
sanitarium	sanatorium
sanitary	sanitasi
sanitation	kebersihan
sanitize	membersihkan
sanitized	disanitasi
sanitizer	pembersih tangan
sanitizers	pembersih tangan
sanitizes	membersihkan
sanitizing	sanitasi
sanity	kewarasan
sank	tenggelam
sans	tanpa
sansei	sansei
sap	getah
sapele	sapele
sapid	sedap
sapiens	sapiens
sapient	orang bijaksana
sapling	pohon muda
saplings	bibit pohon
saponification	saponifikasi
saponin	saponin
saponins	saponin
sapor	rasa
sapped	terkuras
sapper	pencari ranjau
sappers	insinyur
sapphic	lesbian
sapphire	safir
sapphires	safir
sapping	melemahkan
sappy	berdaya
saprophytes	saprofit
saprophytic	saprofitik
saps	getah
sapsucker	burung pelatuk
sapwood	kayu gubal
saraband	saraband
saran	saran
sarangi	sarangi
sarcasm	sarkasme
sarcasms	sarkasme
sarcastic	sarkastik
sarcastically	dengan sarkasme
sarcoid	sarkoidosis
sarcoma	sarkoma
sarcomas	sarkoma
sarcophagi	sarkofagus
sarcophagus	sarkofagus
sard	sard
sardine	sarden
sardines	sarden
sardonic	tajam
sardonically	sinis
sardonyx	sardonyx
sards	sards
sargasso	rumput laut sargasso
sargassum	rumput laut sargassum
sarge	sersan
sarges	sersan
sari	sari
saris	sari
sarky	sarkastik
sarong	sarung
sarongs	sarung
saros	saros
sarracenia	sarracenia
sarsaparilla	sarsaparilla
sartor	penjahit
sartorial	yg berkenaan dgn penjahitan
sartorius	sartorius
sash	selempang
sashay	berjalan dengan anggun
sashes	selempang
sasin	sasin
saskatoon	Saskatoon
sass	kelancangan
sassafras	sassafras
sassy	lancang
sat	duduk
satanic	setan
satanism	Satanisme
satanist	penganut Satanisme
satanists	penganut Satanisme
satay	sate
satchel	tas
satchels	tas
sate	memuaskan
sated	kenyang
sateen	kain saten
satellite	satelit
satellites	satelit
sates	negara bagian
sati	sati
satiate	memuaskan
satiated	segah
satiates	mengenyangkan
satiation	kekenyangan
satiety	kekenyangan
satin	satin
sating	jenuh
satins	satin
satinwood	kayu satin
satiny	halus
satire	sindiran
satires	satire
satiric	satir
satirical	satiris
satirically	secara satir
satirist	penyindir
satirists	satiris
satirize	menyindir
satirized	disindir
satirizes	menyindir
satirizing	menyindir
satisfaction	kepuasan
satisfactions	kepuasan
satisfactorily	memuaskan
satisfactory	memuaskan
satisfiable	dapat dipuaskan
satisfied	puas
satisfies	memuaskan
satisfy	memuaskan
satisfying	memuaskan
satisfyingly	sampai kenyang
satori	satori
satrap	despot
satraps	satrap
satsuma	satsuma
saturable	jenuh
saturate	jenuh
saturated	jenuh
saturates	jenuh
saturating	jenuh
saturation	kejenuhan
saturnalia	saturnalia
saturnine	muram
satyagraha	satyagraha
satyr	satir
satyrs	satyr
sauce	saus
sauced	saus
saucepan	panci
saucepans	panci saus
saucer	lepek
saucers	piringan
sauces	saus
saucier	saus
saucy	cakep
saudade	kerinduan
sauerkraut	asinan kubis
sauger	sauger
sauna	sauna
saunas	sauna
saunter	berjalan santai
sauntered	berjalan santai
sauntering	berjalan santai
saunters	berjalan santai
saurian	kadal
sauropod	sauropod
sauropods	sauropoda
sausage	sosis
sausages	sosis
saute	tumis
sauteed	ditumis
sauteing	menumis
sauternes	Sauternes
savable	dapat disimpan
savage	liar
savaged	dibantai
savagely	dengan kejam
savagery	kebiadaban
savages	orang biadab
savaging	menyerang
savanna	sabana
savannas	sabana
savant	sarjana
savants	orang-orang jenius
savarin	savarin
savate	savate
save	menyimpan
saved	tersimpan
saver	penghemat
savers	penabung
saves	menyimpan
saving	penghematan
savings	tabungan
savior	penyelamat
saviors	penyelamat
savor	menikmati
savored	dinikmati
savories	makanan gurih
savoring	menikmati
savors	menikmati
savory	gurih
savoy	Savoy
savviest	paling cerdas
savvy	mengerti
saw	gergaji
sawdust	serbuk gergaji
sawed	digergaji
sawfish	ikan hiu todak
sawfly	lalat gergaji
sawhorse	kuda-kuda gergaji
sawing	penggergajian
sawmill	penggergajian
sawmills	pabrik penggergajian
saws	gergaji
sawtooth	gigi gergaji
sawyer	penggergaji
sawyers	tukang gergaji
sax	saksofon
saxes	saksofon
saxifrage	saxifrage
saxophone	saksofon
saxophones	saksofon
saxophonist	pemain saksofon
saxophonists	pemain saksofon
say	mengatakan
sayer	orang yang mengatakan
saying	pepatah
sayings	pepatah
sayonara	sayonara
says	mengatakan
sayyid	sayyid
sb	seseorang
sc	sc
scab	berkeropeng
scabbard	sarung
scabbards	sarung pedang
scabbed	berkerak
scabby	berkeropeng
scabies	kudis
scabrous	kudis
scabs	koreng
scad	jumlah besar
scads	banyak sekali
scaffold	perancah
scaffolding	perancah
scaffolds	perancah
scag	scag
scalability	skalabilitas
scalable	dapat diskalakan
scalar	skalar
scalars	skalar
scald	melepuh
scalded	melepuh
scalding	pedas
scalds	luka bakar
scale	skala
scaled	berskala
scalene	sisi tak sama panjang
scalenus	scalenus
scaler	pengikis
scales	timbangan
scaling	penskalaan
scallion	daun bawang
scallions	daun bawang
scallop	kerang
scalloped	bergigi
scallops	kerang
scallywag	anak kurang ajar
scalp	mencatut
scalped	dikuliti
scalpel	pisau bedah
scalpels	pisau bedah
scalper	calo
scalpers	calo
scalping	pencukuran kulit kepala
scalps	kulit kepala
scaly	bersisik
scam	tipuan
scammed	ditipu
scammer	penipu
scammers	penipu
scamming	penipuan
scamp	banyol
scamper	lari cepat
scampered	berlarian
scampering	berlarian
scampers	berlarian
scampi	scampi
scamps	anak nakal
scams	penipuan
scan	pindai
scandal	skandal
scandalized	skandal
scandalous	memalukan
scandalously	secara memalukan
scandals	skandal
scandic	Skandinavia
scandium	skandium
scannable	dapat dipindai
scanned	dipindai
scanner	pemindai
scanners	pemindai
scanning	pemindaian
scans	pemindaian
scansion	irama
scant	sedikit
scantily	sedikit
scantiness	kesedikitan
scanty	hanya sedikit
scape	batang
scapegoat	kambing hitam
scapegoated	dijadikan kambing hitam
scapegoating	menjadikan seseorang sebagai kambing hitam
scapegoats	kambing hitam
scapes	batang
scaphoid	tulang skafoid
scapula	tulang belikat
scapulae	tulang belikat
scapular	tulang belikat
scapulars	tulang belikat
scar	bekas luka
scarab	kumbang scarab
scarabs	kumbang scarab
scarce	langka
scarcely	hampir tidak
scarcer	lebih langka
scarcest	paling langka
scarcities	kelangkaan
scarcity	kelangkaan
scare	ketakutan
scarecrow	orang-orangan sawah
scarecrows	orang-orangan sawah
scared	takut
scaremongering	menakut-nakuti
scares	ketakutan
scarf	syal
scarfed	berselendang
scarfing	syal
scarfs	syal
scarier	lebih menakutkan
scariest	paling menakutkan
scarification	bekas luka
scarified	bekas luka
scarily	menakutkan
scariness	menakutkan
scaring	menakut-nakuti
scarlatina	demam berdarah
scarlet	kirmizi
scarp	lereng curam
scarps	tebing
scarred	berbakat
scarring	bekas luka
scars	bekas luka
scarves	syal
scary	menakutkan
scat	Husy
scathing	pedas
scathingly	dengan pedas
scatological	scatologis
scats	scats
scatter	menyebarkan
scatterbrain	orang berkepala angin
scatterbrained	lengah
scattered	berserakan
scatterer	penyebar
scatterers	penyebar
scattering	penyebaran
scatterings	hamburan
scatters	tersebar
scattershot	tembakan acak
scatting	berhamburan
scavenge	mengais
scavenged	dipungut
scavenger	pemulung
scavengers	pemulung
scavenging	mengais
scenario	skenario
scenarios	skenario
scenarist	penulis skenario
scene	pemandangan
scenery	pemandangan
scenes	adegan
scenic	pemandangan
scenically	pemandangan
scenography	tata panggung
scent	aroma
scented	beraroma
scenting	pewangi
scentless	tidak berbau
scents	aroma
scepter	tongkat kerajaan
scepters	tongkat kerajaan
sch	sekolah
schadenfreude	schadenfreude
schedule	jadwal
scheduled	dijadwalkan
scheduler	penjadwal
schedulers	penjadwal
schedules	jadwal
scheduling	penjadwalan
scheelite	scheelite
schema	skema
schemata	skema
schematic	skema
schematically	secara skematis
schematics	skema
schematized	diskemakan
scheme	skema
schemed	merencanakan
schemer	pengatur siasat
schemers	para perencana
schemes	skema
scheming	licik
scherzando	scherzando
scherzo	scherzo
schiller	schiller
schilling	schilling
schillings	shilling
schipperke	ikan schipperke
schism	perpecahan
schismatic	bersifat memecahbelah
schismatics	kaum skismatik
schisms	perpecahan
schist	batu sekis
schistose	skistos
schistosome	skistosom
schistosomiasis	skistosomiasis
schizo	orang yg menderita skizofrenia
schizoid	seperti skizofrenia
schizophrenia	skizofrenia
schizophrenic	skizofrenia
schizophrenics	penderita skizofrenia
schlep	seret
schlepping	menyeret
schlieren	schlieren
schlock	murahan
schmaltz	schmaltz
schmaltzy	sentimental
schmeer	schmeer
schmo	orang bodoh
schmoe	orang bodoh
schmooze	mengobrol
schmoozing	berbasa-basi
schmuck	orang bodoh
schmucks	orang bodoh
schnapps	minuman keras
schnauzer	anjing schnauzer
schnauzers	anjing schnauzer
schnitzel	schnitzel
scholar	sarjana
scholarly	ilmiah
scholars	para sarjana
scholarship	beasiswa
scholarships	beasiswa
scholastic	ilmiah
scholastically	secara akademis
scholasticism	skolastisisme
scholiast	skolas
scholium	skolium
school	sekolah
schoolbook	buku sekolah
schoolbooks	buku sekolah
schoolboy	siswa
schoolboys	anak sekolah
schoolchild	anak sekolah
schoolchildren	anak sekolah
schooldays	masa sekolah
schooled	bersekolah
schoolfellow	teman sesekolah
schoolfellows	teman sekolah
schoolgirl	siswi
schoolgirls	siswi sekolah
schoolhouse	gedung sekolah
schoolhouses	gedung sekolah
schooling	pendidikan
schoolkids	anak sekolah
schoolman	direktur sekolah
schoolmaster	guru pria
schoolmasters	kepala sekolah
schoolmate	teman sekolah
schoolmates	teman sekolah
schoolmen	para cendekiawan
schoolmistress	guru wanita
schoolroom	ruang sekolah
schoolrooms	ruang kelas
schools	sekolah
schoolteacher	guru sekolah
schoolteachers	guru sekolah
schoolwork	tugas sekolah
schoolyard	halaman sekolah
schoolyards	halaman sekolah
schooner	sekunar
schooners	kapal layar
schottische	schottische
schuss	schuss
schwa	schwa
sci	sains
sciamachy	sciamachy
sciatic	saraf skiatik
sciatica	linu panggul
science	sains
sciences	ilmu pengetahuan
scientific	ilmiah
scientifically	secara ilmiah
scientism	saintisme
scientist	ilmuwan
scientists	ilmuwan
scilicet	yaitu
scilla	scilla
scimitar	pedang lengkung
scintilla	sedikit
scintillating	gemilang
scintillation	kilau
scintillations	kilauan
scintillator	scintillator
scintillators	scintillator
scion	keturunan
scions	keturunan
scirocco	scirocco
scission	pemotongan
scissor	menggunting
scissors	gunting
sclera	sklera
scleral	sklera
sclerite	sklerit
sclerites	sklerit
scleroderma	skleroderma
sclerophyll	sklerofil
sclerosis	sklerosis
sclerotic	sklerotik
scoff	mencemoohkan
scoffed	mencemooh
scoffer	penyindir
scoffers	para pencemooh
scoffing	yg mengejek
scofflaws	pelanggar hukum
scoffs	mencemooh
scold	memarahi
scolded	dimarahi
scolding	omelan
scolds	memarahi
scolex	skoleks
scoliosis	skoliosis
sconce	tempat lilin
sconces	lampu dinding
scone	kue scone
scones	kue scone
scoop	sendok
scooped	disendok
scooper	sendok
scooping	menyendok
scoops	sendok
scoot	berlari cepat
scooted	meluncur
scooter	skuter
scooters	skuter
scooting	menggesek
scoots	skuter
scop	lingkup
scope	cakupan
scoped	tercakup
scopes	lingkup
scoping	ruang lingkup
scopolamine	skopolamin
scorbutic	penyakit kudis
scorch	menghanguskan
scorched	hangus
scorcher	kecaman yg pedas
scorchers	panas terik
scorches	hangus
scorching	sangat panas
score	skor
scoreboard	papan angka
scoreboards	papan skor
scorecard	kartu catatan angka
scorecards	kartu skor
scored	mencetak
scorekeeper	pencatat angka pertandingan
scorekeepers	pencatat skor
scoreless	tanpa skor
scoreline	skor akhir
scorer	pencetak gol
scorers	pencetak gol
scores	skor
scoria	skoria
scoring	mencetak gol
scorn	cemooh
scorned	dihina
scornful	sinis
scornfully	dengan nada menghina
scorning	mencemooh
scorns	cemoohan
scorpion	kalajengking
scorpions	kalajengking
scot	Skotlandia
scotch	scotch
scotched	terkelupas
scotches	wiski
scoter	burung scoter
scoters	burung scoter
scotia	Skotlandia
scotopic	skotopik
scoundrel	bajingan
scoundrels	bajingan
scour	memeriksa
scoured	digosok
scourge	momok
scourged	dicambuk
scourges	malapetaka
scourging	mencambuk
scouring	penggosokan
scours	penggosokan
scout	pramuka
scouted	diintai
scouter	pengintai
scouters	pramuka
scouting	kepanduan
scoutmaster	pemimpin regu pramuka
scouts	pramuka
scow	tongkang
scowl	cemberut
scowled	mengerutkan kening
scowling	cemberut
scowls	cemberut
scr	scr
scrabble	scrabble
scrabbling	menggaruk
scraggly	kurus kering
scraggy	kurus kering
scram	lari
scramble	berebut
scrambled	diacak
scrambler	pengacak
scramblers	pengacak
scrambles	perebutan
scrambling	berebut
scrams	lari
scrap	membatalkan
scrapbook	buku tempel
scrapbooks	buku tempel
scrape	mengikis
scraped	besot
scraper	pengikis
scrapers	pengikis
scrapes	goresan
scrapheap	tumpukan besi tua
scrapie	scrapie
scraping	mengikis
scrapings	kerokan
scrapped	dibuang
scrapper	peninju
scrappers	pengikis
scrapping	mengikis
scrapple	scrapple
scrappy	tdk lengkap
scraps	potongan
scrapyard	tempat barang rongsokan
scratch	menggores
scratchboard	papan gores
scratchcard	kartu gosok
scratchcards	kartu gosok
scratched	tergores
scratcher	penggaruk
scratches	goresan
scratching	goresan
